+---------------------------------------+-------------------------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+---------------------------------------+-------------------------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
| Mod name                              | Registry name                                                                 | BlockID | Subtypes | Item ID | Item meta | Display name                                                    | Exists | Ore Dict keys                                              |
+---------------------------------------+-------------------------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
| AE Additions                          | aeadditions:certustank                                                        |     258 |    false |    4152 |         0 | Certus Quartz Tank                                              | true   |                                                            |
| AE Additions                          | aeadditions:fluidcrafter                                                      |     259 |    false |    4153 |         0 | ME Fluid Assembler                                              | true   |                                                            |
| AE Additions                          | aeadditions:fluidfiller                                                       |     260 |    false |    4154 |         0 | ME Fluid Auto Filler                                            | true   |                                                            |
| AE Additions                          | aeadditions:gas_interface                                                     |     263 |    false |    4157 |         0 | ME Gas Interface                                                | true   |                                                            |
| AE Additions                          | aeadditions:hardmedrive                                                       |     261 |    false |    4155 |         0 | Blast resistant ME Drive                                        | true   |                                                            |
| AE Additions                          | aeadditions:vibrantchamberfluid                                               |     262 |    false |    4156 |         0 | Fluid Vibration Chamber                                         | true   |                                                            |
| AE2 Stuff                             | ae2stuff:encoder                                                              |     253 |    false |    4130 |         0 | Pattern Encoder                                                 | true   |                                                            |
| AE2 Stuff                             | ae2stuff:grower                                                               |     254 |    false |    4131 |         0 | Crystal Growth Chamber                                          | true   |                                                            |
| AE2 Stuff                             | ae2stuff:inscriber                                                            |     256 |    false |    4132 |         0 | Advanced Inscriber                                              | true   |                                                            |
| AE2 Stuff                             | ae2stuff:wireless                                                             |     257 |    false |    4133 |         0 | Wireless Connector                                              | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_atomic_reconstructor                                  |    4174 |    false |    9916 |         0 | Atomic Reconstructor                                            | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_battery_box                                           |    4162 |    false |    9904 |         0 | Battery Box                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_bio_reactor                                           |    4165 |    false |    9907 |         0 | Bio Reactor                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_black_lotus                                           |    4177 |    false |    9919 |         0 | Black Lotus                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_breaker                                               |    4234 |    false |    9976 |         0 | Auto-Breaker                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_canola                                                |    4215 |    false |    9957 |         0 | Canola Plant                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_canola_oil                                            |    4152 |    false |    9894 |         0 | Canola Oil                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_canola_press                                          |    4204 |    false |    9946 |         0 | Canola Press                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_chiseled_quartz_slab                                  |    4249 |    false |    9991 |         0 | Chiseled Black Quartz Slab                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_chiseled_quartz_stair                                 |    4246 |    false |    9988 |         0 | Chiseled Black Quartz Stairs                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_chiseled_quartz_wall                                  |    4243 |    false |    9985 |         0 | Chiseled Black Quartz Wall                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_coal_generator                                        |    4211 |    false |    9953 |         0 | Coal Generator                                                  | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_coffee                                                |    4217 |    false |    9959 |         0 | Coffee Plant                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_coffee_machine                                        |    4239 |    false |    9981 |         0 | Coffee Maker                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         0 | White Lamp                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         1 | Orange Lamp                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         2 | Magenta Lamp                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         3 | Light Blue Lamp                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         4 | Yellow Lamp                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         5 | Lime Lamp                                                       | true   |                                                            |
